sample_id,decision,tags,note
trp00000,keep,,
trp00001,keep,,
trp00002,keep,,
trp00003,keep,,
trp00004,keep,,
trp00005,keep,,
trp00006,keep,,
trp00007,keep,,
trp00008,keep,,
trp00009,keep,,
trp00010,keep,,
trp00011,keep,,
trp00012,keep,,
trp00013,keep,,
trp00014,keep,,
trp00015,keep,,
trp00016,reject,,错误框，画面其他内容占比过高，未完整截取人脸
trp00017,keep,,
trp00018,keep,,
trp00019,keep,,
trp00020,keep,,
trp00021,keep,,
trp00022,keep,,
trp00023,keep,,
trp00024,keep,,
trp00025,keep,,
trp00026,keep,,
trp00027,keep,,
trp00028,keep,,
trp00029,keep,,
trp00030,keep,,
trp00031,keep,,
trp00032,keep,,
trp00033,keep,,
trp00034,keep,,
trp00035,keep,,
trp00036,keep,,
trp00037,keep,,
trp00038,keep,,
trp00039,keep,,
trp00040,keep,,
trp00041,keep,,
trp00042,keep,,
trp00043,keep,,
trp00044,keep,,
trp00045,keep,,
trp00046,keep,,
trp00047,keep,,
trp00048,keep,,
trp00049,keep,,
trp00050,keep,,
trp00051,keep,,
trp00052,reject,,面部被大幅裁切，仅保留局部轮廓
trp00053,keep,,
trp00054,keep,,
trp00055,keep,,
trp00056,keep,,
trp00057,keep,,
trp00058,keep,,
trp00059,keep,,
trp00060,keep,,
trp00061,keep,,
trp00062,keep,,
trp00063,keep,,
trp00064,keep,,
trp00065,keep,,
trp00066,keep,,
trp00067,keep,,
trp00068,keep,,
trp00069,keep,,
trp00070,keep,,
trp00071,keep,,
trp00072,keep,,
trp00073,keep,,
trp00074,keep,,
trp00075,keep,,
trp00076,keep,,
trp00077,keep,,
trp00078,keep,,
trp00079,keep,,
trp00080,keep,,
trp00081,keep,,
trp00082,keep,,
trp00083,keep,,
trp00084,keep,,
trp00085,keep,,
trp00086,keep,,
trp00087,keep,,
trp00088,keep,,
trp00089,keep,,
trp00090,keep,,
trp00091,keep,,
trp00092,keep,,
trp00093,keep,,
trp00094,keep,,
trp00095,keep,,
trp00096,keep,,
trp00097,keep,,
trp00098,keep,,
trp00099,keep,,
