image_id,image_path,source_dataset,source_group,split,width,height,manual_face_labels,baseline_face_labels
anime256:311509-20034.jpg,raw/anime256/311509-20034.jpg,anime256,311509,train,256,256,0,0
anime256:225763-12894.jpg,raw/anime256/225763-12894.jpg,anime256,225763,train,256,256,0,0
anime256:89563-28701.jpg,raw/anime256/89563-28701.jpg,anime256,89563,train,256,256,0,0
anime256:222027-12557.jpg,raw/anime256/222027-12557.jpg,anime256,222027,train,256,256,0,0
anime256:109796-1139.jpg,raw/anime256/109796-1139.jpg,anime256,109796,train,256,256,0,0
anime256:240004-14153.jpg,raw/anime256/240004-14153.jpg,anime256,240004,train,256,256,0,0
anime256:96062-29215.jpg,raw/anime256/96062-29215.jpg,anime256,96062,train,256,256,0,0
anime256:17710-8282.jpg,raw/anime256/17710-8282.jpg,anime256,17710,train,256,256,0,0
anime256:164032-6680.jpg,raw/anime256/164032-6680.jpg,anime256,164032,train,256,256,0,0
anime256:41576-22879.jpg,raw/anime256/41576-22879.jpg,anime256,41576,train,256,256,0,0
anime256:133213-3501.jpg,raw/anime256/133213-3501.jpg,anime256,133213,train,256,256,0,0
anime256:157580-6233.jpg,raw/anime256/157580-6233.jpg,anime256,157580,train,256,256,0,0
anime256:198337-10346.jpg,raw/anime256/198337-10346.jpg,anime256,198337,train,256,256,0,0
anime256:212508-11841.jpg,raw/anime256/212508-11841.jpg,anime256,212508,train,256,256,0,0
anime256:259940-16044.jpg,raw/anime256/259940-16044.jpg,anime256,259940,train,256,256,0,0
anime256:wallhaven-3z8dzy-559.jpg,raw/anime256/wallhaven-3z8dzy-559.jpg,anime256,wallhaven-3z8dzy,train,256,256,0,0
anime256:270410-16809.jpg,raw/anime256/270410-16809.jpg,anime256,270410,train,256,256,0,0
anime256:65181-25693.jpg,raw/anime256/65181-25693.jpg,anime256,65181,train,256,256,0,0
anime256:218873-12342.jpg,raw/anime256/218873-12342.jpg,anime256,218873,train,256,256,0,0
