source_dataset,source_group,split
anime256,1,train
anime256,1000,test
anime256,1003,validation
anime256,1007,train
anime256,1009,train
anime256,1010,train
anime256,102457,train
anime256,10246,test
anime256,102462,test
anime256,102468,train
anime256,102486,train
anime256,102493,test
anime256,102499,train
anime256,10250,validation
anime256,102502,train
anime256,102505,train
anime256,102507,train
anime256,102513,train
anime256,102522,train
anime256,102523,train
anime256,102534,train
anime256,102535,train
anime256,102539,train
anime256,102547,train
anime256,102548,test
anime256,102560,train
anime256,102561,train
anime256,10257,train
anime256,102571,train
anime256,102585,train
anime256,102597,train
anime256,10260,test
anime256,102613,test
anime256,102619,train
anime256,102622,test
anime256,102623,train
anime256,10264,test
anime256,102657,validation
anime256,10266,train
anime256,102670,train
anime256,102687,train
anime256,102688,train
anime256,10270,train
anime256,102703,train
anime256,102704,train
anime256,102731,train
anime256,102737,test
anime256,102745,test
anime256,102746,test
anime256,102752,test
anime256,102754,train
anime256,102755,train
anime256,102761,test
anime256,102763,train
anime256,102783,train
anime256,102784,train
anime256,10279,train
anime256,102790,train
anime256,102791,train
anime256,102796,train
anime256,102798,train
anime256,10280,train
anime256,102802,test
anime256,102809,train
anime256,102812,train
anime256,102813,train
anime256,102817,train
anime256,102828,train
anime256,10284,train
anime256,102843,validation
anime256,102844,train
anime256,102846,train
anime256,102847,train
anime256,102851,train
anime256,102859,train
anime256,102871,train
anime256,102872,train
anime256,102876,validation
anime256,10288,train
anime256,102880,train
anime256,102881,train
anime256,102884,test
anime256,102886,validation
anime256,102888,validation
anime256,10289,validation
anime256,102895,train
anime256,102896,train
anime256,10290,test
anime256,102902,train
anime256,102903,train
anime256,102907,test
anime256,102911,train
anime256,102912,train
anime256,102915,train
anime256,102916,test
anime256,102917,train
anime256,102918,train
anime256,102920,train
anime256,102928,test
anime256,102931,train
anime256,102939,validation
anime256,102948,train
anime256,102953,train
anime256,10296,test
anime256,102960,train
anime256,102966,test
anime256,10297,train
anime256,10298,train
anime256,102983,train
anime256,102984,train
anime256,102985,train
anime256,102986,test
anime256,10299,train
anime256,102993,train
anime256,102997,train
anime256,102999,train
anime256,10300,test
anime256,103006,train
anime256,103009,validation
anime256,103020,train
anime256,103032,train
anime256,103037,train
anime256,103039,train
anime256,103042,validation
anime256,103044,train
anime256,103048,train
anime256,103050,train
anime256,103057,test
anime256,103059,train
anime256,103061,train
anime256,103063,test
anime256,103067,train
anime256,103072,validation
anime256,10308,train
anime256,103088,train
anime256,10309,train
anime256,103091,train
anime256,10311,train
anime256,103112,train
anime256,103113,train
anime256,103114,train
anime256,10313,train
anime256,103138,train
anime256,103139,train
anime256,103141,train
anime256,103146,train
anime256,10316,train
anime256,103162,validation
anime256,103172,train
anime256,103173,train
anime256,103174,train
anime256,103175,train
anime256,103186,train
anime256,103192,train
anime256,103196,train
anime256,10320,train
anime256,103201,train
anime256,103207,train
anime256,103209,train
anime256,103210,train
anime256,103212,train
anime256,103214,train
anime256,103216,train
anime256,10322,train
anime256,103222,train
anime256,103223,train
anime256,103225,train
anime256,103228,train
anime256,103229,train
anime256,103230,train
anime256,103231,test
anime256,103235,train
anime256,103240,validation
anime256,103242,train
anime256,10325,train
anime256,103255,train
anime256,103258,train
anime256,103259,train
anime256,103265,train
anime256,103266,train
anime256,103275,train
anime256,103276,train
anime256,103278,test
anime256,103283,train
anime256,103289,train
anime256,10329,test
anime256,103290,test
anime256,103312,train
anime256,103320,train
anime256,103325,train
anime256,10333,train
anime256,103335,train
anime256,103337,train
anime256,103344,train
anime256,103349,train
anime256,10335,validation
anime256,103351,train
anime256,103352,train
anime256,103357,test
anime256,10336,train
anime256,103362,train
anime256,10337,train
anime256,103375,train
anime256,103380,train
anime256,103381,train
anime256,103382,test
anime256,103385,train
anime256,103395,train
anime256,103397,validation
anime256,103402,train
anime256,103403,train
anime256,103406,test
anime256,10345,train
anime256,10352,test
anime256,10354,train
anime256,10357,train
anime256,10358,train
anime256,10360,train
anime256,10362,train
anime256,10365,train
anime256,10367,train
anime256,10369,validation
anime256,10370,train
anime256,10375,train
anime256,10381,train
anime256,10383,train
anime256,10385,train
anime256,10386,train
anime256,10391,train
anime256,10392,test
anime256,10397,validation
anime256,10398,train
anime256,10399,train
anime256,10402,train
anime256,10405,train
anime256,10407,validation
anime256,10408,validation
anime256,10416,train
anime256,10418,train
anime256,10433,train
anime256,10434,train
anime256,10436,train
anime256,10437,validation
anime256,10439,train
anime256,10442,train
anime256,10445,train
anime256,10447,train
anime256,10448,train
anime256,10450,train
anime256,10455,validation
anime256,10458,train
anime256,10461,train
anime256,10464,train
anime256,10469,train
anime256,10471,train
anime256,10472,test
anime256,10473,test
anime256,10474,train
anime256,10475,train
anime256,10477,train
anime256,10479,train
anime256,10481,train
anime256,10490,train
anime256,10498,train
anime256,10504,test
anime256,10506,train
anime256,10509,train
anime256,10513,train
anime256,10520,train
anime256,10528,train
anime256,10535,train
anime256,10537,test
anime256,10538,train
anime256,10539,train
anime256,10540,test
anime256,10541,train
anime256,10544,validation
anime256,10545,validation
anime256,10546,train
anime256,10552,test
anime256,10555,train
anime256,10562,validation
anime256,10564,validation
anime256,10569,validation
anime256,10572,train
anime256,10573,train
anime256,10576,train
anime256,10582,train
anime256,10585,train
anime256,10586,test
anime256,10587,train
anime256,105875,train
anime256,105883,train
anime256,10590,train
anime256,105920,train
anime256,105926,train
anime256,105938,train
anime256,105939,train
anime256,10594,train
anime256,10595,train
anime256,105950,train
anime256,105953,train
anime256,105958,train
anime256,10596,validation
anime256,105967,train
anime256,105968,test
anime256,10597,train
anime256,105970,train
anime256,105975,train
anime256,10598,test
anime256,105981,train
anime256,105982,test
anime256,105983,test
anime256,105995,train
anime256,105998,train
anime256,10600,train
anime256,106001,train
anime256,106002,validation
anime256,106019,train
anime256,10602,train
anime256,10603,train
anime256,106034,train
anime256,106039,train
anime256,106049,test
anime256,106063,test
anime256,10608,train
anime256,106084,train
anime256,10609,train
anime256,106091,train
anime256,10610,train
anime256,106112,train
anime256,106115,train
anime256,106123,train
anime256,10613,train
anime256,106130,test
anime256,106134,train
anime256,106136,train
anime256,10614,validation
anime256,106141,train
anime256,10615,train
anime256,106158,train
anime256,10617,validation
anime256,106177,train
anime256,106178,test
anime256,106186,validation
anime256,10619,test
anime256,106201,train
anime256,106204,train
anime256,106206,train
anime256,106207,train
anime256,10621,train
anime256,10622,train
anime256,106222,train
anime256,106225,train
anime256,106226,train
anime256,106234,train
anime256,10625,test
anime256,106262,train
anime256,106268,train
anime256,106270,test
anime256,106280,train
anime256,106281,train
anime256,106289,train
anime256,106299,train
anime256,10630,train
anime256,106304,train
anime256,106305,train
anime256,10631,train
anime256,10634,train
anime256,106349,train
anime256,106364,train
anime256,106383,validation
anime256,106387,test
anime256,10640,train
anime256,106407,train
anime256,106408,train
anime256,106409,train
anime256,10641,test
anime256,10642,train
anime256,106425,train
anime256,106435,train
anime256,106437,validation
anime256,106442,test
anime256,106459,test
anime256,106464,train
anime256,106467,train
anime256,106479,train
anime256,106486,test
anime256,10649,train
anime256,106496,validation
anime256,10650,test
anime256,106524,validation
anime256,106526,train
anime256,106529,train
anime256,10653,test
anime256,106535,train
anime256,106536,train
anime256,106537,train
anime256,106542,train
anime256,106546,train
anime256,10655,train
anime256,106560,train
anime256,106564,validation
anime256,106565,train
anime256,10658,train
anime256,106585,train
anime256,106586,test
anime256,10659,train
anime256,106594,train
anime256,106596,train
anime256,106597,train
anime256,10661,train
anime256,106611,train
anime256,106612,test
anime256,106613,train
anime256,106619,train
anime256,10662,train
anime256,106625,train
anime256,106626,test
anime256,106631,test
anime256,106635,train
anime256,106636,train
anime256,106643,train
anime256,106644,train
anime256,106653,train
anime256,10666,train
anime256,106662,train
anime256,106672,train
